見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
令和2年7月豪雨災害義援金,県では、被災された方々を支援するため、義援金を10月30日まで受け付けています。,,,,,,,,義援金振込先(1)金融機関：紀陽銀行 県庁支店口座番号：（普）414000(2)金融機関：きのくに信用金庫 本店営業部口座番号：（普）2669693(3)金融機関：和歌山県信用農業協同組合連合会 本所口座番号：（普）8005口座名義：(1)～(3)共通令和2年7月豪雨災害義援金,県庁福祉保健総務課県ウェブサイトでも掲載 ,,,,,,,,
自治医科大学医学部説明会,大学の特色、教育内容、入試概要の説明,,,9月27日（日）14:00?16:00,県民文化会館（和歌山市）,進学希望者、保護者、進路指導教員など ,30人（先着順）,,,,郵送、ファックス、Eメールで所定の申込書（ウェブサイトで配布）を9月18日までに県庁医務課ファックス073-424-0425Eメール　w-doctor@pref.wakayama.lg.jp県ウェブサイトでも掲載 ,,,,,,,
難聴者サロン,,,,毎月1回月曜 13:30?※開催日は要問合せ,和歌山ビッグ愛（和歌山市）,県内在住の難聴者の方,20人（先着順）,,,県聴覚障害者情報センター電話073-421-6311　ファックス073-421-6411Eメール　w.d.center@watyosyokyo.or.jp和歌山県聴覚障害者情報センターのぺージへリンク,,,,,,,,
認知症疾患医療センター市民公開講座,認知症の心や行動の症状（BPSD）とケアについての講演,,,10月10日（土）15:00?17:00,県立医大講堂（和歌山市）,,250人（抽選）,,,,電話、ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を10月2日までに県立医大病院認知症疾患医療センター電話073-441-0776　ファックス073-441-0515Eメール　dementia@wakayama-med.ac.jp和歌山県立医大病院のぺージへリンク※要約筆記は要予約,,,,,,,
県難病・子ども保健相談支援センターからのお知らせ,(1)難病患者の就労・年金・療養相談会,,,[1]9月16日（水）和歌山市中央コミュニティセンター[2]10月16日（金）橋本保健所 いずれも13:30?16:30,,患者、家族,15人（先着順）,,電話、ファックスで住所、氏名、電話（ファックス）番号、希望日、相談内容を[1]9月11日[2]10月9日までに問合先,県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603※(1)手話通訳・要約筆記は要予約県ウェブサイトでも掲載 ,,,,,,,,
県難病・子ども保健相談支援センターからのお知らせ,(2)難病患者就職サポーター出張相談会,,,毎月第1火曜（11月のみ第2火曜）[1]13:30?14:30 [2]14:45?15:45,*県難病・子ども保健相談支援センター（和歌山市）,難病患者、家族、事業主など,各回2組（先着順）,,電話、ファックスで住所、氏名、電話番号、参加人数、相談内容を各回4日前までに問合先,県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603県ウェブサイトでも掲載 ,,,,,,,,
潜在看護職復職支援研修,講義・演習・臨地実習,,,10月6日（火）?9日（金）・12日（月）・13日（火）,情報交流センターBig・U（田辺市）、県内病院など,看護職の有資格者で現在就業していない方,20人（先着順）,,,,郵送、電話、ファックス、Eメールで所定の申込書（申込先で配布）を9月28日までに県ナースセンター〒642-0017海南市南赤坂17電話073-483-0234、073-483-1005　ファックス073-483-1266Eメール　riji@wakayama-kangokyokai.or.jp和歌山県看護協会のぺージへリンク※一時保育は要予約 ,,,,,,,
「紀の国わかやま総文2021」300日前大会PRイベント,高校生による文化部舞台発表や作品展示,,,10月11日（日）13:00?15:00,イオンモール和歌山（和歌山市）,,,,,県教育庁全国高総文祭推進室県ウェブサイトでも掲載 ,,,,,,,,
観光ゼミナール,魚さばき体験,,,10月25日（日）13:00?16:30,日高町公民館,小学5年～中学3年生,20人（抽選）,500円（材料費、保険料）,,,ファックス、Eメール、インターネットで所定の申込書（申込先、ウェブサイトで配布）を10月12日までに日高振興局企画産業課電話0738-24-2911　ファックス0738-24-3312Eメール　e1305161@pref.wakayama.lg.jp紀中を巡るのぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(1)パソコン・簿記経理科（概ね40歳以上対象）,,,(1)(2)和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(2)CAD・NC技術科,,,(1)(2)和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(3)OA事務・Web科,,,(3)岩出市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(4)介護初級科,,,(4)橋本市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(5)パソコン・簿記事務科,,,(5)御坊市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(6)OA事務・Web科,,,(6)～(9)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(7)パソコン・総務経理事務科,,,(6)～(9)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(8)介護初級科,,,(6)～(9)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
10・11月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(9)OAビジネス科（障害者対象）,,,(6)～(9)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認和歌山労働局 職業訓練のぺージへリンク,,,,,,,
県住宅供給公社による宅地分譲,岸宮サニータウン（紀の川市）1区画の分譲価格を見直し,,,,,,,,,,9月16?25日に県住宅供給公社電話073-425-6885和歌山県住宅供給公社のぺージへリンク,,,,,,,
人権教室・パラスポーツボッチャにチャレンジ,,,,10月3日（土）13:00?15:00,和歌山ビッグウエーブ（和歌山市）,,40人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号などを県人権啓発センター〒640-8319和歌山市手平2-1-2和歌山ビッグ愛2階電話073-435-5420　ファックス073-435-5421Eメール　sports@w-jinken.jp和歌山県人権啓発センターのぺージへリンク※小学生以下は保護者同伴 ,,,,,,,
戦没者遺児による慰霊友好親善事業,本年度は18コース（各コースにより実施時期、申込締切日を設定）を令和3年3月まで実施,,,,,対象地域で戦没された方の遺児,,,,,郵送、電話で県遺族連合会〒640-8146和歌山市一番丁3電話073-424-5813 ,,,,,,,
「紀の国わかやま文化祭2021」応援コンサート,藪下将人&田頭宜和アコースティックライブ,,,9月20日（日）14:00?,海南nobinos（海南市）,,100人（先着順）,,,和歌山県民文化会館電話073-436-1331和歌山県民文化会館のぺージへリンク,,,,,,,,
わくわく！統計アカデミーfor KIDS,総務省統計局主催の統計学を学べるウェブセミナー※インターネット環境に接続可能なパソコンやタブレットなど必要,,,9月19日（土）13:00?16:00,,小学5・6年生,30人（抽選）,,,,インターネットで9月11日17:00までに株式会社Rejoui電話03-6276-3160わくわく！統計アカデミーのぺージへリンク,,,,,,,
